teme,lat, lon,TM
2018-04-14 00:00:00,-24.85408,-48.3786,20.23328
2018-04-14 00:00:00,-24.85408,-48.1357,22.571087
2018-04-14 00:00:00,-24.85408,-47.8928,24.225512
2018-04-14 00:00:00,-24.85408,-47.6499,25.233875
2018-04-14 00:00:00,-24.85408,-47.407,25.046806
2018-04-14 00:00:00,-24.85408,-47.1641,24.81461
2018-04-14 00:00:00,-24.85408,-46.9212,24.582415
2018-04-14 00:00:00,-24.85408,-46.6783,24.314974
2018-04-14 00:00:00,-24.85408,-46.4354,24.01716
2018-04-14 00:00:00,-24.85408,-46.1925,23.719349
2018-04-14 00:00:00,-24.85408,-45.9496,23.421537
2018-04-14 00:00:00,-24.85408,-45.7067,23.123726
2018-04-14 00:00:00,-24.85408,-45.4638,22.795328
2018-04-14 00:00:00,-24.85408,-45.2209,22.655039
2018-04-14 00:00:00,-24.85408,-44.978,23.058487
2018-04-14 00:00:00,-24.85408,-44.7351,23.463125
2018-04-14 00:00:00,-24.85408,-44.4922,23.867765
2018-04-14 00:00:00,-24.85408,-44.2493,24.274193
2018-04-14 00:00:00,-24.633514,-52.9937,25.346521
2018-04-14 00:00:00,-24.633514,-52.7508,24.11441
2018-04-14 00:00:00,-24.633514,-52.5079,23.282629
2018-04-14 00:00:00,-24.633514,-52.265,22.387121
2018-04-14 00:00:00,-24.633514,-52.0221,21.383678
2018-04-14 00:00:00,-24.633514,-51.7792,20.675694
2018-04-14 00:00:00,-24.633514,-51.5363,21.843636
2018-04-14 00:00:00,-24.633514,-51.2934,21.380674
2018-04-14 00:00:00,-24.633514,-51.0505,19.992846
2018-04-14 00:00:00,-24.633514,-50.8076,19.552095
2018-04-14 00:00:00,-24.633514,-50.5647,19.733866
2018-04-14 00:00:00,-24.633514,-50.3218,19.87347
2018-04-14 00:00:00,-24.633514,-50.0789,18.705065
2018-04-14 00:00:00,-24.633514,-49.836,18.895414
2018-04-14 00:00:00,-24.633514,-49.5931,19.57251
2018-04-14 00:00:00,-24.633514,-49.3502,20.974825
2018-04-14 00:00:00,-24.633514,-49.1073,22.033245
2018-04-14 00:00:00,-24.633514,-48.8644,22.78844
2018-04-14 00:00:00,-24.633514,-48.6215,22.930628
2018-04-14 00:00:00,-24.633514,-48.3786,22.137356
2018-04-14 00:00:00,-24.633514,-48.1357,23.39445
2018-04-14 00:00:00,-24.633514,-47.8928,24.111073
2018-04-14 00:00:00,-24.633514,-47.6499,24.88359
2018-04-14 00:00:00,-24.633514,-47.407,25.267155
2018-04-14 00:00:00,-24.633514,-47.1641,25.082527
2018-04-14 00:00:00,-24.633514,-46.9212,24.878677
2018-04-14 00:00:00,-24.633514,-46.6783,24.642366
2018-04-14 00:00:00,-24.633514,-46.4354,24.352697
2018-04-14 00:00:00,-24.633514,-46.1925,24.054886
2018-04-14 00:00:00,-24.633514,-45.9496,23.757072
2018-04-14 00:00:00,-24.633514,-45.7067,23.45926
2018-04-14 00:00:00,-24.633514,-45.4638,23.16145
2018-04-14 00:00:00,-24.633514,-45.2209,22.833199
2018-04-14 00:00:00,-24.633514,-44.978,22.803774
2018-04-14 00:00:00,-24.633514,-44.7351,23.208414
2018-04-14 00:00:00,-24.633514,-44.4922,23.613052
2018-04-14 00:00:00,-24.633514,-44.2493,24.01769
2018-04-14 00:00:00,-24.412567,-52.9937,25.39919
2018-04-14 00:00:00,-24.412567,-52.7508,24.479004
2018-04-14 00:00:00,-24.412567,-52.5079,23.41105
2018-04-14 00:00:00,-24.412567,-52.265,23.266647
2018-04-14 00:00:00,-24.412567,-52.0221,22.998459
2018-04-14 00:00:00,-24.412567,-51.7792,22.380447
2018-04-14 00:00:00,-24.412567,-51.5363,22.298819
2018-04-14 00:00:00,-24.412567,-51.2934,21.487728
2018-04-14 00:00:00,-24.412567,-51.0505,21.648941
2018-04-14 00:00:00,-24.412567,-50.8076,19.864866
2018-04-14 00:00:00,-24.412567,-50.5647,20.968748
2018-04-14 00:00:00,-24.412567,-50.3218,20.432966
2018-04-14 00:00:00,-24.412567,-50.0789,19.67275
